Stock,UPC,Name,Price,Chipset,Socket Type,Memory Type,Memory Speeds Supported,Memory Slots,Max Memory Supported,Maximum Memory Suported Per Slot,SATA Express,SATA 6Gb/s,WiFi Support,PCI Express 4.0 x16,PCI Express 3.0 x16,PCI Express 5.0 x16,Form Factor
0,195553101219,ASUS Z590-P Prime WiFi Intel LGA 1200 ATX Motherboard,$200,Intel Z590,LGA 1200,DDR-2133 DDR4-2400 DDR4-2666 DDR4-2933 DDR4-3200 DDR4-2800 DDR4-3000,5133(OC)/5000(OC)/4800(OC)/4700(OC)/4600(OC)/4500(OC)/4400(OC)/4266(OC)/4133(OC)/4000(OC)/3866(OC)/3733(OC)/3600(OC)/3466(OC)/3400(OC)/3333(OC)/3200/3000/2933/2800/2666/2400/2133 MHz,4 x 288-pin DIMM,128GB,32GB,3 x M.2 Socket 3 M Key,4,Onboard WiFi,1,1,,ATX
0,195553905572,ASUS X670E-I ROG Strix Gaming WiFi AMD AM5 Mini-ITX Motherboard,$470,AMD X670E,AM5,DDR5-4800 DDR5-5200 DDR5-5000,6400+(OC)/ 6200(OC)/ 6000(OC)/ 5800(OC)/ 5600(OC)/ 5400(OC)/ 5200/ 5000/ 4800MHz,2 x 288-pin DIMM,64GB,32GB,2 x M.2 Socket 3 M Key,2,Onboard WiFi,,,1,Mini-ITX
0,824142301388,MSI Z790-A Pro WiFi D4 Intel LGA 1700 ATX Motherboard,$270,Intel Z790,LGA 1700,DDR4-2133 DDR4-2400 DDR4-2666 DDR4-2933 DDR4-3200 DDR4-2800 DDR4-3000,5333/5200/5066/5000/4800/4600/4533/4400/4266/4000/3866/3733/3600/3466/3333(O.C.)/3200/3000/2933/2800/2666/2400/2133,4 x 288-pin DIMM,128GB,32GB,4 x M.2 Socket 3 M Key,6,V-M.2 Slot,1,1,1,ATX
0,195553862424,ASUS X670E ROG CROSSHAIR Hero AMD AM5 ATX Motherboard,$700,AMD X670E,AM5,DDR5-4800 DDR5-5200 DDR5-5000,6400+(OC)/ 6200(OC)/ 6000(OC)/ 5800(OC)/ 5600(OC)/ 5400(OC)/ 5200/ 5000/ 4800MHz,4 x 288-pin DIMM,128GB,32GB,5 x M.2 Socket 3 M Key,6,,,,2,ATX
0,824142270349,MSI Z690 MPG Edge WiFi DDR4 Intel LGA 1700 ATX Motherboard,$300,Intel Z690,LGA 1700,DDR4-2133 DDR4-2666 DDR4-2933 DDR4-3200,5200(OC) / 4800(OC)/ 4600(OC)/ 4400(OC)/ 4000(OC)/3200(JEDEC)/ 2933(JEDEC)/ 2666(JEDEC)/ 2133(JEDEC) MHz,4 x 288-pin DIMM,128GB,32GB,4 x M.2 Socket 3 M Key,8,V-M.2 Slot,,2,2,ATX
0,824142219362,MSI B550-A Pro AMD AM4 ATX Motherboard,$140,AMD B550,AM4,DDR4-2133 DDR4-2400 DDR4-2667 DDR4-2933 DDR4-3200,,4 x 288-pin DIMM,128GB,32GB,2 x M.2 Socket 3 M Key,6,,1,1,,ATX
0,824142302125,MSI Z790-P Pro WiFi Intel LGA 1700 ATX Motherboard,$250,Intel Z790,LGA 1700,DDR5-4800 DDR5-5200 DDR5-5400 DDR5-5600 DDR5-5000,7000+(OC)/6800(OC)/6600(OC)/6400(OC)/6200(OC)/6000(OC)/5800(OC)/5600(JEDEC)/5400(JEDEC)/5200(JEDEC)/5000(JEDEC)/4800(JEDEC) MHz,4 x 288-pin DIMM,128GB,32GB,4 x M.2 Socket 3 M Key,6,V-M.2 Slot,1,1,1,ATX
0,195553514965,ASUS B660-I ROG Strix Gaming WiFi D5 Intel LGA 1700 Mini-ITX Motherboard,$200,AMD B660,LGA 1700,DDR5-4800,6200(OC)/ 6000(OC)/ 5800(OC)/ 5600(OC)/ 5400(OC)/ 5200(OC)/ 5000(OC)/ 4800,2 x 288-pin DIMM,64GB,32GB,2 x M.2 Socket 3 M Key,4,Onboard WiFi,,,1,Mini-ITX
0,824142301029,MSI B650I MPG Edge WiFi AMD AM5 Mini-ITX Motherboard,$240,AMD B550,AM5,DDR5-4800,6600+(OC)/6400(OC)/6200(OC)/6000(OC)/5800(OC)/5600(OC)/5400(OC)/5200(OC)/5000(OC)/4800(JEDEC) MHz,2 x 288-pin DIMM,64GB,32GB,2 x M.2 Socket 3 M Key,4,M.2 Slot,1,,,Mini-ITX
0,195553847858,ASUS X670E ROG Crosshair Extreme AMD AM5 eATX Motherboard,"$1,000",AMD X670E,AM5,,6400+(OC)/6200(OC)/ 6000(OC)/ 5800(OC)/ 5600/ 5400/ 5200/ 5000/ 4800 Mhz,4 x 288-pin DIMM,128GB,32GB,,,Onboard WiFi,,,2,ATX
