Stock,UPC,Name,Price,Capacity,Cache,RPM,Endurance,Read Speed,Write Speed,Interface,Form Factor,Random Read 4K,Random Write 4K
0,618996750269,Inland QN322 500GB SSD NVMe PCIe Gen 3.0 x4 M.2 2280 3D NAND QLC Internal Solid State Drive,$27,500GB,,,100 TBW,"Up to 2,100MBps","Up to 1,000MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 60,000 IOPS","Up to 230,000 IOPS"
0,649528821553,"Crucial BX500 1TB SSD 3D NAND SATA III 6Gb/s 2.5"" Internal Solid State Drive",$60,1TB,,,120 TBW,Up to 540MBps,Up to 500MBps,SATA 3.0 6.0GB/s,"2.5""",,
0,718037891392,WD Black SN850X 1TB 112L 3D TLC NAND Flash PCIe Gen 4 x4 NVMe M.2 Internal SSD,$100,1TB,,,600 TBW,"Up to 7,300MBps","Up to 6,300MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 800,000 IOPS","Up to 1,100,000 IOPS"
0,735858453295,Intel 670p Series 1TB SSD 3D QLC NAND Flash M.2 2280 PCIe NVMe 3.0 x4 Internal Solid State Drive,$65,1TB,,,370 TBW,"Up to 3,500MBps","Up to 2,500MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 220,000 IOPS","Up to 330,000 IOPS"
0,649528906663,Crucial P5 Plus 1TB SSD 3D NAND M.2 NVMe PCIe 4.0 x4 Interface Internal Solid State Drive,$90,1TB,,,600 TBW,"Up to 6,600MBps","Up to 5,000MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 630,000 IOPS","Up to 700,000 IOPS"
0,618996741953,Inland Prime 1TB SSD NVMe PCIe Gen 3.0x4 M.2 2280 3D NAND Internal Solid State Drive,$68,1TB,,,400 TBW,"Up to 3,300MBps","Up to 3,000MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 400,000 IOPS","Up to 400,000 IOPS"
0,718037887357,WD Black SN770 2TB SSD 112L TLC NAND M.2 2280 PCIe NVMe 4.0 x4 Internal Solid State Drive,$135,2TB,,,"1,200 TBW","Up to 5,150MBps","Up to 4,850MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 650,000 IOPS","Up to 800,000 IOPS"
0,887276303741,Samsung 970 EVO Plus SSD 500GB M.2 NVMe Interface PCIe 3.0 x4 Internal Solid State Drive with V-NAND 3 bit MLC Technology (MZ-V7S500B/AM),$60,500GB,,,300 TBW,"Up to 3,500MBps","Up to 3,300MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 480,000 IOPS","Up to 550,000 IOPS"
0,718037883854,WD Blue SN570 2TB TLC NAND PCIe Gen 3 x4 NVMe M.2 Internal SSD,$130,2TB,,,900 TBW,"Up to 3,500MBps","Up to 3,500MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 600,000 IOPS","Up to 600,000 IOPS"
0,649528906670,Crucial P5 Plus 2TB SSD 3D NAND M.2 NVMe PCIe 4.0 x4 Interface Internal Solid State Drive,$170,2TB,,,"1,200 TBW","Up to 6,600MBps","Up to 5,000MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 720,000 IOPS","Up to 700,000 IOPS"
0,887276417851,"Samsung 870 QVO 4TB SSD 4-bit QLC V-NAND SATA III 6Gb/s 2.5"" Internal Solid State Drive",$360,4TB,,,"1,440 TBW",Up to 560MBps,Up to 530MBps,SATA 3.0 6.0GB/s,"2.5""","Up to 98,000 IOPS","Up to 88,000 IOPS"
