Stock,UPC,Name,Price,Wattage,Form Factor,Modular,ATX Connector,ATX 12V Connector,Graphics Connector,Molex Connector,Sata Connector,Rating,Power Supply Depth
0,844761022839,"SilverStone SX1000 1000 Watt 80 Plus Platinum SFX-L Fully Modular Power Supply
",$330,1000 Watts,SFX,Fully-Modular,20+4-pin,2 x 4+4-pin,6 x 6+2-pin,3,8,80 PLUS Platinum Certified,5.12 in. (130.00 mm)
0,843368069179,"EVGA SuperNOVA 850 GM 850 Watt 80 Plus Gold SFX Fully Modular Power Supply
",$180,850 Watts,SFX,Fully-Modular,20+4-pin,2 x 4+4-pin,4 x 6+2-pin,4,6,80 PLUS Gold Certified,3.94 in. (100.00 mm)
0,824142225707,"MSI MPG A650GF 650 Watt 80 Plus Gold ATX Fully Modular Power Supply
",$110,650 Watts,ATX,Fully-Modular,24-pin,2 x 4+4-pin,4 x 6+2-pin,4,8,80 PLUS Gold Certified,6.30 in. (160.02 mm)
0,841163084205,"Thermaltake Toughpower GF3 1200 Watt 80 Plus Gold ATX Fully Modular Power Supply
",$230,1200 Watts,ATX,Fully-Modular,20+4-pin,2 x 4+4-pin,"4 x 6+2-pin, 1 x 12+4-pin",4,12,80 PLUS Gold Certified,6.30 in. (160.02 mm)
0,618996732074,"MAINGEAR IGNITION 1200 Watt 80 Plus Platinum ATX Fully Modular Power Supply
",$250,1200 Watts,ATX,Fully-Modular,20+4-pin,2 x 4+4-pin,8 x 6+2-pin,14,14,80 PLUS Platinum Certified,7.48 in. (190.00 mm)
0,843368067656,"EVGA SuperNOVA 1300 P Plus 1300 Watt 80 Plus Platinum ATX Fully Modular Power Supply
",$360,1300 Watts,ATX,Fully-Modular,20+4-pin,2 x 4+4-pin,8 x 6+2-pin,6,12,80 PLUS Platinum Certified,7.87 in. (200.00 mm)
0,843368062163,"EVGA SuperNOVA G5 850 Watt 80 Plus Gold ATX Fully Modular Power Supply
",$165,850 Watts,ATX,Fully-Modular,24-pin,2 x 4+4-pin,6 x 6+2-pin,4,9,80 PLUS Gold Certified,5.91 in. (150.00 mm)
0,843368060497,"EVGA SuperNOVA 650 GT 650 Watt 80 Plus Gold ATX Fully Modular Power Supply
",$130,650 Watts,ATX,Fully-Modular,24-pin,1 x 4+4-pin,3 x 6+2-pin,3,6,80 PLUS Gold Certified,5.91 in. (150.00 mm)
0,618996733606,"PowerSpec 1050 Watt 80 Plus Gold ATX Fully Modular Power Supply
",$170,1050 Watts,ATX,Fully-Modular,20+4-pin,2 x 4+4-pin,8 x 6+2-pin,4,12,80 PLUS Gold Certified,6.30 in. (160.02 mm)
0,618996752904,"PowerSpec 1250W Power Supply 80 Plus Gold Certified Fully Modular Power Supply
",$230,1250 Watts,ATX,Fully-Modular,20+4-pin,2 x 4+4-pin,"6 x 6+2-pin, 1 x16-pin",4,12,80 PLUS Gold Certified,6.30 in. (160.02 mm)
0,192876535332,"ASUS 550 Watt 80 Plus Gold ATX Fully Modular Power Supply
",$95,550 Watts,ATX,Fully-Modular,20+4-pin,2 x 4+4-pin,2 x 6+2-pin,3,8,80 PLUS Gold Certified,6.30 in. (160.02 mm)
0,843368032722,"EVGA SuperNOVA 1600 T2 1600W Watt 80 Plus Titanium ATX Fully Modular Power Supply
",$490,1600 Watts,ATX,Fully-Modular,24-pin,"2 x 8-pin, 2 x 4+4-pin","9 x 6+2-pin, 5 x 6-pin",5,16,80 PLUS Titanium Certified,7.87 in. (200.00 mm)
0,841163084427,"Thermaltake Toughpower GF3 1350 Watt 80 Plus Gold ATX Fully Modular Power Supply
",$260,1350 Watts,ATX,Fully-Modular,20+4-pin,2 x 4+4-pin,"6 x 6+2-pin, 1 x 12+4-pin",4,12,80 PLUS Gold Certified,6.30 in. (160.02 mm)
0,618996733613,"PowerSpec 1250 Watt 80 Plus Gold Fully Modular ATX Power Supply
",$190,1250 Watts,ATX,Fully-Modular,24-pin,2 x 4+4-pin,8 x 6+2-pin,,12,80 PLUS Gold Certified,6.30 in. (160.02 mm)
0,843368067632,"EVGA SuperNOVA 1600 P Plus 1600 Watt 80 Plus Platinum ATX Fully Modular Power Supply
",$378,1600 Watts,ATX,Fully-Modular,20+4-pin,2 x 4+4-pin,14 x 6+2-pin,8,14,80 PLUS Platinum Certified,7.87 in. (200.00 mm)
0,840006615620,"Corsair HXi Series HX1500i 1500 Watt 80 Plus Platinum Fully Modular Power Supply
",$400,1500 Watts,ATX,Fully-Modular,20+4-pin,3 x 4+4-pin,9 x 6+2-pin,8,8,80 PLUS Platinum Certified,7.87 in. (200.00 mm)
0,815671017338,"NZXT C850 Gold 850 Watt 80 Plus Gold ATX Fully Modular Power Supply
",$140,850 Watts,ATX,Fully-Modular,24-pin,2 x 4+4-pin,6 x 6+2-pin,6,6,80 PLUS Gold Certified,5.91 in. (150.00 mm)
